id1,id2,grounding,a,b
5ee3932dc9e77c0008ccb4a5_4,5ee3932dc9e77c0008ccb4a5_2,"As of 16 March , more than 186,000 cases of the disease have been reported in over 160 countries and territories , resulting in more than 7,400 deaths and around 80,000 recoveries .","As of March 16 , 2020 , there are more than 79,500 COVID-19 recoveries globally .","As of March 16 , 2020 , there are fewer than 79,500 COVID-19 recoveries globally ."
5ee39329c9e77c0008cc938b_1,5ee3932bc9e77c0008cc9fbd_1,"As of 18 March 2020 , more than 203,000 cases of COVID-19 have been reported in over 160 countries and territories , with major outbreaks in mainland China , Europe , Iran , and South Korea .","At least 203,001 cases of COVID-19 have been reported .","Less than 203,500 people had been infected with coronavirus in more than 160 countries by mid-March 2020 during the pandemic ."
5ee3932bc9e77c0008cc9fbd_4,5ee3932bc9e77c0008cc9fbd_2,"As of 18 March 2020 , more than 204,000 cases of COVID-19 have been reported in over 160 countries and territories , with major outbreaks in mainland China , Europe , Iran , and South Korea .","More than 203,500 people had been infected with coronavirus in more than 160 countries by mid-March 2020 during the pandemic .","Less than 203,500 people had been infected with coronavirus in more than 160 countries by mid-March 2020 during the pandemic ."
5ee3932cc9e77c0008ccb38a_4,5ee3932cc9e77c0008ccb38a_2,"As of 18 March 2020 , more than 212,000 cases of COVID-19 have been reported in at least 170 countries and territories , with major outbreaks in China , Iran and the European Union .","More than 169 countries had reported over 212,000 COVID-19 cases before March 19 , 2020 .","More than 169 countries had reported under 212,000 COVID-19 cases before March 19 , 2020 ."
5ee393b6c9e77c0008ccc211_2,5ee393b6c9e77c0008ccbe99_1,"As of 19 March , more than 220,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 8,900 deaths and 85,000 recoveries .","As of 19 March , more than 220,000 confirmed cases have been reported in 150 countries , resulting in more than 9,000 deaths .","There were less than 224,000 cases of coronavirus as 19th March 2020 during the pandemic , with less than 9,000 deaths ."
5ee393b6c9e77c0008ccbe99_4,5ee393b6c9e77c0008ccbe99_2,"As of 19 March , more than 225,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 9,200 deaths and 85,000 recoveries .","There were more than 224,000 cases of coronavirus as 19th March 2020 during the pandemic , with more than 9,000 deaths .","There were less than 224,000 cases of coronavirus as 19th March 2020 during the pandemic , with less than 9,000 deaths ."
5ee393b6c9e77c0008ccc211_1,5ee393b6c9e77c0008ccc211_3,"As of 19 March , more than 223,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 9,100 deaths and 85,000 recoveries .","As of 19 March , more than 220,000 confirmed cases have been reported in 150 countries , resulting in more than 9,000 deaths .","As of 19 March , less than 230,000 confirmed cases have been reported in 150 countries , resulting in less than 9,000 deaths ."
5ee3932dc9e77c0008ccb6eb_4,5ee3932dc9e77c0008ccb6eb_2,"As of 19 March , more than 226,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 9,200 deaths and 85,000 recoveries .","COVID-19 cases as of March 19 , 2020 were more than 225,500 .","COVID-19 cases as of March 19 , 2020 were less than 225,500 ."
5ee39329c9e77c0008cc938a_1,5ee3932bc9e77c0008cc9fbb_1,"As of 19 March , more than 237,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 9,900 deaths and 86,000 recoveries.  On 13 March , the WHO announced that Europe had become the new epicentre of the pandemic .","Less than 238,000 cases of COVID-19 have been reported in over 170 countries .","Less than 238,000 COVID-19 cases were reported during the pandemic in more than 170 countries by mid-March 2020 ."
5ee3932bc9e77c0008cc9fbb_4,5ee3932bc9e77c0008cc9fbb_2,"As of 19 March , more than 239,800 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 9,900 deaths and 86,000 recoveries.  On 13 March , the WHO announced that Europe had become the new epicentre of the pandemic .","More than 238,000 COVID-19 cases were reported during the pandemic in more than 170 countries by mid-March 2020 .","Less than 238,000 COVID-19 cases were reported during the pandemic in more than 170 countries by mid-March 2020 ."
5ee3932cc9e77c0008ccb303_4,5ee3932cc9e77c0008ccb303_2,"As of 20 March , more than 242,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 9,900 deaths and 87,000 recoveries.  On 13 March , the WHO announced that Europe had become the new epicentre of the pandemic .","There has been more than 241,500 cases of COVID-19 reported in over 170 countries .","There has been less than 241,500 cases of COVID-19 reported in over 170 countries ."
5ee393b6c9e77c0008ccc315_4,5ee393b6c9e77c0008ccc315_2,"As of 20 March , more than 267,900 cases of COVID-19 have been reported in at least 183 countries and territories , resulting in more than 11,100 deaths and 90,000 recoveries .","There are more than 267,800 coronavirus cases .","There are less than 267,800 coronavirus cases ."
5ee3932dc9e77c0008ccb681_4,5ee3932dc9e77c0008ccb681_2,"As of 20 March , more than 274,000 cases of COVID-19 have been reported in over 184 countries and territories , resulting in more than 11,300 deaths and 90,000 recoveries .","Over 184 countries and territories had reported more than 274,000 COVID-19 cases by March 20 , 2020 .","Over 184 countries and territories had reported less than 274,000 COVID-19 cases by March 20 , 2020 ."
5ebe6f31c9e77c0008408e5a_1,5ebe6f31c9e77c0008408e5a_3,"As of 2016 , the album has sold approximately 27 million copies worldwide .",Come Away with Me sold approximately 27 million copies worldwide .,Come Away with Me has sold more than 27 million copies worldwide as of October 2016 .
5ebe6f31c9e77c0008408e5a_4,5ebe6f31c9e77c0008408e5a_2,"Worldwide , as of October 2016 the album has sold more than 27 million copies .",Come Away with Me has sold more than 27 million copies worldwide as of October 2016 .,Come Away with Me sold approximately 27 million copies worldwide .
5ebbf32bc9e77c000929584d_1,5ebbf32bc9e77c000929584d_3,"As of 21 March , more than 275,000 cases of COVID-19 have been reported in over 185 countries and territories , resulting in more than 11,300 deaths and 90,000 recoveries .","Less than 91,000 recoveries from coronavirus had been reported by 21 March .","More than 90,000 recoveries from coronavirus had been reported by 21 March ."
5ebbf32bc9e77c000929584d_4,5ebbf32bc9e77c000929584d_2,"As of 21 March , more than 275,000 cases of COVID-19 have been reported in over 185 countries and territories , resulting in more than 11,300 deaths and 91,000 recoveries .","More than 90,000 recoveries from coronavirus had been reported by 21 March .","Less than 91,000 recoveries from coronavirus had been reported by 21 March ."
5ee3932bc9e77c0008cca45b_1,5ee393b6c9e77c0008ccc084_1,"As of 21 March , more than 277,000 cases of COVID-19 have been reported in over 186 countries and territories , resulting in more than 11,500 deaths and 92,000 recoveries.  virus seems to mostly spread between people via respiratory droplets .","The number of COVID-19 cases in the world is less than 277,500 as of before March 22 , 2020 .","Less than 278,000 coronavirus cases had been confirmed around the world by March 21 , 2020 ."
5ee393b6c9e77c0008ccc084_4,5ee393b6c9e77c0008ccc084_2,"As of 21 March , more than 278,000 cases of COVID-19 have been reported in over 186 countries and territories , resulting in more than 11,500 deaths and 92,000 recoveries.  virus seems to mostly spread between people via respiratory droplets .","Over 278,000 coronavirus cases had been confirmed around the world by March 21 , 2020 .","Less than 278,000 coronavirus cases had been confirmed around the world by March 21 , 2020 ."
5ee3932bc9e77c0008cca68f_1,5ee3932ac9e77c0008cc95af_1,"As of 21 March , more than 284,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 11,800 deaths and 93,000 recoveries .","More than 284,000 cases of COVID-19 have been reported in over 180 countries and territories .","Less than 285,000 COVID-19 cases came to light from over 180 countries and territories by March 21 , 2020 ."
5ee3932ac9e77c0008cc95af_4,5ee3932ac9e77c0008cc95af_2,"As of 21 March , more than 286,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 11,800 deaths and 93,000 recoveries .","More than 285,000 COVID-19 cases came to light from over 180 countries and territories by March 21 , 2020 .","Less than 285,000 COVID-19 cases came to light from over 180 countries and territories by March 21 , 2020 ."
5ee39329c9e77c0008cc9347_1,5ee39329c9e77c0008cc9347_3,"As of 22 February 2020 , 77,984 cases have been confirmed , including in all provinces of China and more than two dozen other countries .","Fewer than 78,000 cases of COVID-19 have been confirmed .","More than 78,000 cases of COVID-19 have been confirmed ."
5ee39329c9e77c0008cc9347_4,5ee39329c9e77c0008cc9347_2,"As of 22 February 2020 , 78,629 cases have been confirmed , including in all provinces of China and more than two dozen other countries .","More than 78,000 cases of COVID-19 have been confirmed .","Fewer than 78,000 cases of COVID-19 have been confirmed ."
5ee393b6c9e77c0008ccbcf3_4,5ee393b6c9e77c0008ccbcf3_2,"As of 22 March , more than 321,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 13,600 deaths and 96,000 recoveries .","As of March 22 , there were more than 321,000 cases with over 13,600 deaths and more than 96,000 recoveries reported worldwide .","As of March 22 , 2020 there were under 321,000 coronavirus cases , less than 13,600 deaths and under 96,000 recoveries reported worldwide ."
5ee3932dc9e77c0008ccb478_1,5ee3932ac9e77c0008cc9bfc_1,"As of 22 March , more than 318,000 cases of COVID-19 have been reported in over 188 countries and territories , resulting in more than 13,600 deaths and 96,000 recoveries .","By March 22 , 2020 , over 318,000 Covid-19 cases had been confirmed worldwide .","More than 317,000 cases of COVID-19 have been confirmed ."
5ee3932dc9e77c0008ccb478_4,5ee3932ac9e77c0008cc9bfc_2,"As of 22 March , more than 315,000 cases of COVID-19 have been reported in over 188 countries and territories , resulting in more than 13,500 deaths and 95,000 recoveries .","By March 22 , 2020 , less than 318,000 Covid-19 cases had been confirmed worldwide .","More than 317,000 cases of COVID-19 have been confirmed ."
5ee39329c9e77c0008cc9428_1,5ee3932bc9e77c0008cca1c2_1,"As of 22 March , more than 334,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,500 deaths and 97,000 recoveries .","Less than 14,550 people have died of COVID-19 as of March 22 , 2020 .","Less than 14,550 coronavirus fatalities have been recorded around the world by March 22 ."
5ee3932bc9e77c0008cca1c2_4,5ee3932bc9e77c0008cca1c2_2,"As of 22 March , more than 334,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries .","More than 14,550 coronavirus fatalities have been recorded around the world by March 22 .","Less than 14,550 coronavirus fatalities have been recorded around the world by March 22 ."
5ebbf32bc9e77c0009295861_1,5ee3932cc9e77c0008ccb1fc_1,"As of 22 March , more than 335,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries .","Over 335,000 cases of COVID-19 have been reported by 22nd March .","Less than 336,000 COVID-19 cases have been reported in over 190 countries ."
5ee3932cc9e77c0008ccb1fc_4,5ee3932cc9e77c0008ccb1fc_2,"As of 23 March , more than 337,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries .","More than 336,000 COVID-19 cases have been reported in over 190 countries .","Less than 336,000 COVID-19 cases have been reported in over 190 countries ."
5ee39329c9e77c0008cc92b2_1,5ee3932dc9e77c0008ccb6b9_1,"As of 22 March , more than 337,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries .","At least 337,001 cases of COVID-19 have been reported .","Less than 190 countries and territories had reported having coronavirus cases by March 22 , 2020 ."
5ee3932dc9e77c0008ccb6b9_4,5ee3932dc9e77c0008ccb6b9_2,"As of 22 March , more than 337,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries .","More than 190 countries and territories had reported having coronavirus cases by March 22 , 2020 .","Less than 190 countries and territories had reported having coronavirus cases by March 22 , 2020 ."
5ee393b6c9e77c0008ccbcf1_1,5ee393b6c9e77c0008ccbcf1_3,"As of 22 March , more than 340,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,500 deaths and 97,000 recoveries .","As of March 22 , 2020 there were over 338,000 coronavirus cases , more than 14,500 deaths and over 96,500 recoveries .","As of March 22 , there were less than 338,000 cases with less than 14,500 deaths and less than 96,500 recoveries reported worldwide ."
5ee39329c9e77c0008cc92b2_4,5ee393b6c9e77c0008ccbcf1_2,"As of 22 March , more than 338,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries .","At least 338,001 cases of COVID-19 have been reported .","As of March 22 , 2020 there were over 338,000 coronavirus cases , more than 14,500 deaths and over 96,500 recoveries ."
5ee3932ac9e77c0008cc9b07_1,5ee3932cc9e77c0008ccb319_1,"As of 23 March , more than 339,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,700 deaths and 99,000 recoveries .",The 2019-20 coronavirus pandemic has affected less than 191 countries and territories .,"339,000 cases of COVID-19 have been reported in less than 191 countries ."
5ee3932cc9e77c0008ccb319_4,5ee3932cc9e77c0008ccb319_2,"As of 23 March , more than 339,000 cases of COVID-19 have been reported in 192 countries and territories , resulting in more than 14,700 deaths and 99,000 recoveries .","339,000 cases of COVID-19 have been reported in more than 191 countries .","339,000 cases of COVID-19 have been reported in less than 191 countries ."
5ee3932ac9e77c0008cc9a46_1,5ee3932ac9e77c0008cc9a46_3,"As of 23 March , more than 341,000 cases of COVID-19 have been reported in 192 countries and territories , resulting in more than 14,700 deaths and 99,000 recoveries .","By March 23 , 99,000 patients had recovered from coronavirus .","By March 23 , more than 99,000 patients had recovered from coronavirus ."
5ee3932ac9e77c0008cc9a46_2,5ee3932cc9e77c0008ccb1f8_2,"As of 23 March , more than 341,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,700 deaths and over 99,000 recoveries .","By March 23 , 99,000 patients had recovered from coronavirus .",COVID-19 was reported in over 191 countries .
5ebbf32bc9e77c00092958f2_1,5ee39329c9e77c0008cc9168_1,"As of 23 March , more than 343,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,700 deaths and over 99,000 recoveries .","In the coronavirus pandemic of 2019-2020 , less than 349,000 cases of COVID-19 had been reported , resulting in less than 15,200 deaths , and under 100,000 recoveries by March 23 .","Before March 24 , 2020 , less than 348,999 COVID-19 cases , less than 15,199 deaths , and less than 99,999 recoveries had been confirmed in more than 190 countries"
5ee39329c9e77c0008cc9168_4,5ee39329c9e77c0008cc9168_2,"As of 23 March , more than 349,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 15,200 deaths and over 100,000 recoveries .","Before March 24 , 2020 , more than 348,999 COVID-19 cases , more than 15,199 deaths , and more than 99,999 recoveries had been confirmed in more than 190 countries","Before March 24 , 2020 , less than 348,999 COVID-19 cases , less than 15,199 deaths , and less than 99,999 recoveries had been confirmed in more than 190 countries"
5ee393b6c9e77c0008ccbb6a_1,5ee3932bc9e77c0008cca0b8_1,"As of 23 March , more than 353,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 15,400 deaths and over 100,000 recoveries .","Less than 355,000 people have tested positive for coronavirus .","Less than 357,000 coronavirus cases had been registered around the world by 23 March ."
5ee3932bc9e77c0008cca0b8_4,5ee3932bc9e77c0008cca0b8_2,"As of 23 March , more than 358,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 15,400 deaths and over 100,000 recoveries .","More than 357,000 coronavirus cases had been registered around the world by 23 March .","Less than 357,000 coronavirus cases had been registered around the world by 23 March ."
5ee39329c9e77c0008cc9392_1,5ee3932bc9e77c0008cc9fd9_1,"As of 23 March , more than 366,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,300 deaths and over 101,000 recoveries .","There have been less than 370,000 cases of COVID-19 have been reported .","Less than 370,000 people tested positive for COVID-19 during the pandemic by March 23 ."
5ee3932bc9e77c0008cc9fd9_4,5ee3932bc9e77c0008cc9fd9_2,"As of 23 March , more than 372,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,300 deaths and over 101,000 recoveries .","More than 370,000 people tested positive for COVID-19 during the pandemic by March 23 .","Less than 370,000 people tested positive for COVID-19 during the pandemic by March 23 ."
5ee393b6c9e77c0008ccbc56_4,5ee3932bc9e77c0008cca0b3_1,"As of 23 March , more than 374,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,000 deaths and over 101,000 recoveries .","As of March 23 , 2020 , there were over 374,000 cases of COVID-19 .","Less than 16,200 people had died of coronavirus around the world by 23 March ."
5ee3932bc9e77c0008cca0b3_4,5ee3932bc9e77c0008cca0b3_2,"As of 23 March , more than 374,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,300 deaths and over 101,000 recoveries .","More than 16,200 people had died of coronavirus around the world by 23 March .","Less than 16,200 people had died of coronavirus around the world by 23 March ."
5ee39329c9e77c0008cc90c2_4,5ee3932cc9e77c0008ccb2ce_1,"As of 24 March , more than 395,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 103,000 recoveries .","There were under 396,000 cases of COVID-19 ( disease ) and under 104,000 recoveries before March 25 , 2020 .","Less than 395,500 cases of COVID-19 have been reported ."
5ee3932cc9e77c0008ccb2ce_4,5ee3932cc9e77c0008ccb2ce_2,"As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,300 deaths and more than 103,000 recoveries .","More than 395,500 cases of COVID-19 have been reported .","Less than 395,500 cases of COVID-19 have been reported ."
5ebbf32bc9e77c0009295875_1,5ebbf32bc9e77c0009295875_3,"As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 104,000 recoveries .","There were more than 396,000 coronavirus cases and over 104,000 recoveries by March 24 .","There were fewer than 396,000 coronavirus cases and under 104,000 recoveries by March 24 ."
5ebbf32bc9e77c000929585d_1,5ee393b6c9e77c0008ccc220_1,"As of 24 March , more than 411,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,300 deaths and more than 107,200 recoveries .","Fewer than 412,500 cases of COVID-19 have been reported .","As of March , less than 413,000 cases have been confirmed in more than 190 countries with less than 107,000 recoveries ."
5ee393b6c9e77c0008ccc220_4,5ee393b6c9e77c0008ccc220_2,"As of 24 March , more than 414,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,500 deaths and more than 108,000 recoveries .","As of March , more than 413,000 cases have been confirmed in more than 190 countries with more than 107,000 recoveries .","As of March , less than 413,000 cases have been confirmed in more than 190 countries with less than 107,000 recoveries ."
5ee3932ac9e77c0008cc9adb_4,5ee3932ac9e77c0008cc9adb_2,"As of 24 March , more than 415,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,500 deaths and more than 108,000 recoveries .","The number of COVID-19 cases were more than 414,500 worldwide on March 24 , 2020 .","The number of COVID-19 cases were less than 414,500 worldwide on March 24 , 2020 ."
5ee39329c9e77c0008cc923f_1,5ee3932ac9e77c0008cc9beb_1,"As of 24 March , more than 420,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,800 deaths and more than 108,000 recoveries .","Less than 420,500 COVID-19 cases have been reported in more than 190 countries .","Less than 420,500 cases of COVID-19 have been reported ."
5ee3932ac9e77c0008cc9beb_4,5ee3932ac9e77c0008cc9beb_2,"As of 24 March , more than 421,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,800 deaths and more than 108,000 recoveries .","More than 420,500 cases of COVID-19 have been reported .","Less than 420,500 cases of COVID-19 have been reported ."
5ee3932bc9e77c0008cca45e_1,5ee393b6c9e77c0008ccc088_1,"As of 25 March , more than 434,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 19,600 deaths and more than 109,000 recoveries .","The number of COVID-19 cases in the world is less than 434,500 as of before March 26 , 2020 , with less than 110,000 recoveries .","Less than 435,000 coronavirus cases had been confirmed around the world by March 25 , while less than 110,000 people had recovered ."
5ee393b6c9e77c0008ccc088_4,5ee393b6c9e77c0008ccc088_2,"As of 25 March , more than 435,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 19,600 deaths and more than 111,000 recoveries .","Over 435,000 coronavirus cases had been confirmed around the world by March 25 , while more than 110,000 people had recovered .","Less than 435,000 coronavirus cases had been confirmed around the world by March 25 , while less than 110,000 people had recovered ."
5ee3932bc9e77c0008cca3d8_1,5ee39329c9e77c0008cc94da_1,"As of 25 March , more than 441,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 19,700 deaths and more than 112,000 recoveries .","Less than 443,000 coronavirus cases were claimed in more than 190 countries and territories .","Over 190 countries and territories have reported less than 443,000 cases of COVID-19 as of March 25 , 2020 ."
5ee39329c9e77c0008cc94da_4,5ee39329c9e77c0008cc94da_2,"As of 25 March , more than 445,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 19,700 deaths and more than 112,000 recoveries .","Over 190 countries and territories have reported more than 443,000 cases of COVID-19 .","Over 190 countries and territories have reported less than 443,000 cases of COVID-19 as of March 25 , 2020 ."
5ee393b6c9e77c0008ccc16e_1,5ee3932bc9e77c0008cca4e7_1,"As of 25 March , more than 452,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,400 deaths and more than 113,000 recoveries .","As of 25 March 2020 , there have been less than 20,450 fatalities in more than 190 countries .","As of 25 March , less than 20,450 deaths from coronavirus have been confirmed around the world ."
5ee3932bc9e77c0008cca4e7_4,5ee3932bc9e77c0008cca4e7_2,"As of 25 March , more than 452,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,500 deaths and more than 113,000 recoveries .","As of 25 March , more than 20,450 deaths from coronavirus have been confirmed around the world .","As of 25 March , less than 20,450 deaths from coronavirus have been confirmed around the world ."
5ee39329c9e77c0008cc91fc_1,5ee3932cc9e77c0008ccb325_1,"As of 25 March , more than 453,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,500 deaths and more than 113,000 recoveries .","By March 25 , 2020 , under 20,799 COVID-19 deaths were recorded .","Less than 20,650 deaths have been reported in more than 190 countries ."
5ee3932cc9e77c0008ccb325_4,5ee3932cc9e77c0008ccb325_2,"As of 25 March , more than 453,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,800 deaths and more than 113,000 recoveries .","More than 20,650 deaths have been reported in more than 190 countries .","Less than 20,650 deaths have been reported in more than 190 countries ."
5ebbf32bc9e77c00092958bc_1,5ebbf32bc9e77c00092958bc_3,"As of 26 February 2020 , 81,380 cases have been confirmed , including in all provinces of China and more than forty other countries .","Less than 82,000 COVID-19 cases were confirmed before February 27 , 2020 .","More than 82,000 COVID-19 cases were confirmed before February 27 , 2020 ."
5ebbf32bc9e77c00092958bc_4,5ebbf32bc9e77c00092958bc_2,"As of 26 February 2020 , 82,167 cases have been confirmed , including in all provinces of China and more than forty other countries .","More than 82,000 COVID-19 cases were confirmed before February 27 , 2020 .","Less than 82,000 COVID-19 cases were confirmed before February 27 , 2020 ."
5ee3932dc9e77c0008ccb44d_4,5ee3932bc9e77c0008cca47a_1,"As of 26 March , more than 468,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 21,200 deaths and more than 114,000 recoveries .","By March 26 , 2020 , fewer than 471,000 Covid-19 cases have been confirmed worldwide .","Less than 470,000 cases of COVID-19 were reported worldwide before March 27 ."
5ee3932bc9e77c0008cca47a_4,5ee3932bc9e77c0008cca47a_2,"As of 26 March , more than 471,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 21,200 deaths and more than 114,000 recoveries .","More than 470,000 cases of COVID-19 were reported worldwide before March 27 .","Less than 470,000 cases of COVID-19 were reported worldwide before March 27 ."
5ee393b6c9e77c0008ccbce9_1,5ee3932bc9e77c0008cca1be_1,"As of 26 March , more than 510,000 cases of COVID-19 have been reported in over 200 countries and territories , resulting in approximately 23,000 deaths and more than 122,000 recoveries .","As of 26 March , 2020 , there were under 519,000 coronavirus cases with less than 23,500 deaths and under 123,000 recoveries .","Less than 515,000 coronavirus cases and less than 23,300 fatalities had been registered around the world by 26 March ."
5ee3932bc9e77c0008cca1be_4,5ee3932bc9e77c0008cca1be_2,"As of 26 March , more than 519,000 cases of COVID-19 have been reported in over 200 countries and territories , resulting in approximately 23,500 deaths and more than 123,000 recoveries .","More than 515,000 coronavirus cases and more than 23,300 fatalities had been registered around the world by 26 March","Less than 515,000 coronavirus cases and less than 23,300 fatalities had been registered around the world by 26 March ."
